Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,16/05/2025 23:30,CareFirst Arena,Washington Mystics,Atlanta Dream,94 - 90
2,1,16/05/2025 23:30,College Park Center,Dallas Wings,Minnesota Lynx,94 - 99
3,1,17/05/2025 02:00,Chase Center,Golden State Valkyries,Los Angeles Sparks,67 - 84
5,1,17/05/2025 17:00,Barclays Center,New York Liberty,Las Vegas Aces,92 - 78
4,1,17/05/2025 19:00,Gainbridge Fieldhouse,Indiana Fever,Chicago Sky,93 - 58
6,1,18/05/2025 02:00,PHX Arena,Phoenix Mercury,Seattle Storm,81 - 59
7,1,18/05/2025 17:00,Mohegan Sun Arena,Connecticut Sun,Washington Mystics,85 - 90
8,1,18/05/2025 22:00,Crypto.com Arena,Los Angeles Sparks,Minnesota Lynx,75 - 89
9,1,20/05/2025 00:00,College Park Center,Dallas Wings,Seattle Storm,71 - 79
10,1,20/05/2025 23:00,Mohegan Sun Arena,Connecticut Sun,Las Vegas Aces,62 - 87
11,1,20/05/2025 23:00,Gainbridge Fieldhouse,Indiana Fever,Atlanta Dream,90 - 91
12,1,22/05/2025 00:00,Target Center,Minnesota Lynx,Dallas Wings,85 - 81
13,1,22/05/2025 02:00,Chase Center,Golden State Valkyries,Washington Mystics,76 - 74
14,1,22/05/2025 02:00,PHX Arena,Phoenix Mercury,Los Angeles Sparks,89 - 86
15,1,22/05/2025 23:30,State Farm Arena,Atlanta Dream,Indiana Fever,76 - 81
16,1,23/05/2025 00:00,Wintrust Arena,Chicago Sky,New York Liberty,74 - 99
17,2,23/05/2025 23:30,Target Center,Minnesota Lynx,Connecticut Sun,76 - 70
18,2,24/05/2025 02:00,Michelob ULTRA Arena,Las Vegas Aces,Washington Mystics,75 - 72
19,2,24/05/2025 02:00,Crypto.com Arena,Los Angeles Sparks,Golden State Valkyries,73 - 82
20,2,24/05/2025 02:00,Climate Pledge Arena,Seattle Storm,Phoenix Mercury,77 - 70
21,2,24/05/2025 17:00,Gainbridge Fieldhouse,Indiana Fever,New York Liberty,88 - 90
22,2,24/05/2025 19:00,Gateway Center Arena @ College Park,Atlanta Dream,Dallas Wings,83 - 75
23,2,25/05/2025 19:00,Gateway Center Arena @ College Park,Atlanta Dream,Connecticut Sun,79 - 55
24,2,25/05/2025 22:00,Crypto.com Arena,Los Angeles Sparks,Chicago Sky,91 - 78
25,2,25/05/2025 22:00,PHX Arena,Phoenix Mercury,Washington Mystics,68 - 62
26,2,25/05/2025 22:00,Climate Pledge Arena,Seattle Storm,Las Vegas Aces,102 - 82
27,2,27/05/2025 23:00,Mohegan Sun Arena,Connecticut Sun,Dallas Wings,87 - 109
28,2,27/05/2025 23:00,Barclays Center,New York Liberty,Golden State Valkyries,95 - 67
29,2,28/05/2025 00:00,Target Center,Minnesota Lynx,Seattle Storm,82 - 77
30,2,28/05/2025 02:00,Crypto.com Arena,Los Angeles Sparks,Atlanta Dream,82 - 88
31,2,28/05/2025 02:00,PHX Arena,Phoenix Mercury,Chicago Sky,94 - 89
32,2,28/05/2025 23:30,CFG Bank Arena,Washington Mystics,Indiana Fever,83 - 77
33,2,29/05/2025 23:00,Barclays Center,New York Liberty,Golden State Valkyries,82 - 77
34,2,30/05/2025 00:00,Wintrust Arena,Chicago Sky,Dallas Wings,97 - 92
35,3,30/05/2025 23:30,Gainbridge Fieldhouse,Indiana Fever,Connecticut Sun,83 - 85
36,3,30/05/2025 23:30,CareFirst Arena,Washington Mystics,New York Liberty,63 - 85
37,3,31/05/2025 02:00,Michelob ULTRA Arena,Las Vegas Aces,Los Angeles Sparks,96 - 81
38,3,31/05/2025 02:00,PHX Arena,Phoenix Mercury,Minnesota Lynx,71 - 74
39,3,31/05/2025 02:00,Climate Pledge Arena,Seattle Storm,Atlanta Dream,87 - 94
40,3,01/06/2025 00:00,College Park Center,Dallas Wings,Chicago Sky,83 - 94
41,3,01/06/2025 19:00,Barclays Center,New York Liberty,Connecticut Sun,100 - 52
42,3,01/06/2025 22:00,Crypto.com Arena,Los Angeles Sparks,Phoenix Mercury,80 - 85
43,3,01/06/2025 22:00,Climate Pledge Arena,Seattle Storm,Las Vegas Aces,70 - 75
44,3,02/06/2025 00:30,Chase Center,Golden State Valkyries,Minnesota Lynx,75 - 86
45,3,03/06/2025 23:00,Gainbridge Fieldhouse,Indiana Fever,Washington Mystics,85 - 76
46,3,04/06/2025 00:00,Target Center,Minnesota Lynx,Phoenix Mercury,88 - 65
47,3,04/06/2025 01:30,Climate Pledge Arena,Seattle Storm,Dallas Wings,83 - 77
48,3,05/06/2025 23:30,CareFirst Arena,Washington Mystics,New York Liberty,78 - 86
49,3,06/06/2025 02:00,PHX Arena,Phoenix Mercury,Golden State Valkyries,86 - 77
50,4,06/06/2025 23:30,Mohegan Sun Arena,Connecticut Sun,Atlanta Dream,84 - 76
51,4,07/06/2025 01:30,College Park Center,Dallas Wings,Los Angeles Sparks,79 - 93
52,4,07/06/2025 19:00,Chase Center,Golden State Valkyries,Las Vegas Aces,95 - 68
53,4,08/06/2025 00:00,United Center,Chicago Sky,Indiana Fever,52 - 79
54,4,08/06/2025 02:00,PHX Arena,Phoenix Mercury,Seattle Storm,77 - 89
55,4,08/06/2025 19:00,CareFirst Arena,Washington Mystics,Connecticut Sun,104 - 67
56,4,08/06/2025 20:00,College Park Center,Dallas Wings,Minnesota Lynx,65 - 81
57,4,10/06/2025 02:00,Crypto.com Arena,Los Angeles Sparks,Golden State Valkyries,81 - 89
58,4,10/06/2025 23:30,Gateway Center Arena @ College Park,Atlanta Dream,Indiana Fever,77 - 58
59,4,11/06/2025 00:00,Barclays Center,New York Liberty,Chicago Sky,85 - 66
60,4,12/06/2025 02:00,Michelob ULTRA Arena,Las Vegas Aces,Los Angeles Sparks,89 - 97
61,4,12/06/2025 02:00,PHX Arena,Phoenix Mercury,Dallas Wings,93 - 80
62,4,12/06/2025 02:00,Climate Pledge Arena,Seattle Storm,Minnesota Lynx,94 - 84
63,5,13/06/2025 23:30,Gateway Center Arena @ College Park,Atlanta Dream,Chicago Sky,88 - 70
64,5,14/06/2025 02:00,Michelob ULTRA Arena,Las Vegas Aces,Dallas Wings,88 - 84
65,5,14/06/2025 17:00,Target Center,Minnesota Lynx,Los Angeles Sparks,101 - 78
66,5,14/06/2025 19:00,Gainbridge Fieldhouse,Indiana Fever,New York Liberty,102 - 88
67,5,15/06/2025 00:30,Chase Center,Golden State Valkyries,Seattle Storm,76 - 70
68,5,15/06/2025 16:00,Mohegan Sun Arena,Connecticut Sun,Chicago Sky,66 - 78
69,5,15/06/2025 18:00,CareFirst Arena,Washington Mystics,Atlanta Dream,56 - 89
70,5,15/06/2025 22:00,Michelob ULTRA Arena,Las Vegas Aces,Phoenix Mercury,70 - 76
71,5,17/06/2025 23:00,Gainbridge Fieldhouse,Indiana Fever,Connecticut Sun,88 - 71
72,5,17/06/2025 23:00,Barclays Center,New York Liberty,Atlanta Dream,86 - 81
73,5,18/06/2025 00:00,Wintrust Arena,Chicago Sky,Washington Mystics,72 - 79
74,5,18/06/2025 00:00,College Park Center,Dallas Wings,Golden State Valkyries,80 - 71
75,5,18/06/2025 00:00,Target Center,Minnesota Lynx,Las Vegas Aces,76 - 62
76,5,18/06/2025 02:00,Crypto.com Arena,Los Angeles Sparks,Seattle Storm,67 - 98
77,5,18/06/2025 23:00,Mohegan Sun Arena,Connecticut Sun,Phoenix Mercury,75 - 83
78,5,19/06/2025 23:00,Barclays Center,New York Liberty,Phoenix Mercury,81 - 89
79,5,20/06/2025 02:00,Chase Center,Golden State Valkyries,Indiana Fever,88 - 77
80,6,20/06/2025 23:30,Gateway Center Arena @ College Park,Atlanta Dream,Washington Mystics,92 - 91
81,6,20/06/2025 23:30,Mohegan Sun Arena,Connecticut Sun,Dallas Wings,83 - 86
82,6,21/06/2025 02:00,Michelob ULTRA Arena,Las Vegas Aces,Seattle Storm,83 - 90
83,6,21/06/2025 17:00,Wintrust Arena,Chicago Sky,Phoenix Mercury,86 - 107
84,6,22/06/2025 00:00,Target Center,Minnesota Lynx,Los Angeles Sparks,82 - 66
85,6,22/06/2025 19:00,Gateway Center Arena @ College Park,Atlanta Dream,Chicago Sky,93 - 80
86,6,22/06/2025 19:00,CareFirst Arena,Washington Mystics,Dallas Wings,91 - 88
87,6,22/06/2025 19:00,T-Mobile Arena,Las Vegas Aces,Indiana Fever,89 - 81
88,6,22/06/2025 23:00,Climate Pledge Arena,Seattle Storm,New York Liberty,89 - 79
89,6,23/06/2025 00:30,Chase Center,Golden State Valkyries,Connecticut Sun,87 - 63
90,6,25/06/2025 00:00,CareFirst Arena,Washington Mystics,Minnesota Lynx,68 - 64
91,6,25/06/2025 00:00,Wintrust Arena,Chicago Sky,Los Angeles Sparks,97 - 86
92,6,25/06/2025 00:00,College Park Center,Dallas Wings,Atlanta Dream,68 - 55
93,6,25/06/2025 02:00,Climate Pledge Arena,Seattle Storm,Indiana Fever,86 - 94
94,6,26/06/2025 02:00,Chase Center,Golden State Valkyries,New York Liberty,78 - 81
95,6,26/06/2025 02:00,Michelob ULTRA Arena,Las Vegas Aces,Connecticut Sun,85 - 59
96,6,26/06/2025 23:00,Gainbridge Fieldhouse,Indiana Fever,Los Angeles Sparks,75 - 85
97,6,27/06/2025 02:00,Michelob ULTRA Arena,Las Vegas Aces,Washington Mystics,83 - 94
98,7,27/06/2025 23:30,Gateway Center Arena @ College Park,Atlanta Dream,Minnesota Lynx,92 - 96
99,7,27/06/2025 23:30,American Airlines Center,Dallas Wings,Indiana Fever,86 - 94
100,7,28/06/2025 02:00,Chase Center,Golden State Valkyries,Chicago Sky,83 - 78
101,7,28/06/2025 02:00,PHX Arena,Phoenix Mercury,New York Liberty,106 - 91
102,7,28/06/2025 02:00,Climate Pledge Arena,Seattle Storm,Connecticut Sun,97 - 81
103,7,29/06/2025 00:00,College Park Center,Dallas Wings,Washington Mystics,79 - 71
104,7,29/06/2025 19:00,Gateway Center Arena @ College Park,Atlanta Dream,New York Liberty,90 - 81
105,7,29/06/2025 20:00,Crypto.com Arena,Los Angeles Sparks,Chicago Sky,85 - 92
106,7,29/06/2025 22:00,PHX Arena,Phoenix Mercury,Las Vegas Aces,81 - 84
107,7,29/06/2025 23:00,Target Center,Minnesota Lynx,Connecticut Sun,102 - 63
108,7,30/06/2025 00:30,Chase Center,Golden State Valkyries,Seattle Storm,84 - 57
287,7,02/07/2025 00:00,Target Center,Minnesota Lynx,Indiana Fever,59 - 74
109,7,03/07/2025 23:00,Gainbridge Fieldhouse,Indiana Fever,Las Vegas Aces,81 - 54
110,7,03/07/2025 23:00,Barclays Center,New York Liberty,Los Angeles Sparks,89 - 79
111,7,03/07/2025 23:30,Gateway Center Arena @ College Park,Atlanta Dream,Seattle Storm,79 - 80
112,7,04/07/2025 00:00,College Park Center,Dallas Wings,Phoenix Mercury,98 - 89
113,7,04/07/2025 00:00,Target Center,Minnesota Lynx,Washington Mystics,92 - 75
114,8,05/07/2025 23:00,Gainbridge Fieldhouse,Indiana Fever,Los Angeles Sparks,87 - 89
115,8,06/07/2025 00:00,Target Center,Minnesota Lynx,Golden State Valkyries,92 - 75
117,8,06/07/2025 17:00,Barclays Center,New York Liberty,Seattle Storm,70 - 79
116,8,06/07/2025 20:00,Mohegan Sun Arena,Connecticut Sun,Las Vegas Aces,68 - 86
118,8,06/07/2025 23:00,Target Center,Minnesota Lynx,Chicago Sky,80 - 75
119,8,07/07/2025 23:30,Gateway Center Arena @ College Park,Atlanta Dream,Golden State Valkyries,90 - 81
120,8,08/07/2025 02:00,PHX Arena,Phoenix Mercury,Dallas Wings,102 - 72
121,8,08/07/2025 15:30,EagleBank Arena,Washington Mystics,Chicago Sky,81 - 79
122,8,09/07/2025 00:00,Barclays Center,New York Liberty,Las Vegas Aces,87 - 78
123,8,09/07/2025 15:00,Mohegan Sun Arena,Connecticut Sun,Seattle Storm,93 - 83
124,8,09/07/2025 16:00,Gainbridge Fieldhouse,Indiana Fever,Golden State Valkyries,61 - 80
